,Kichwa,Spanish,Etiqueta
0,abya yala,continente americano,neutro
1,abyalami chawchuri rikurimanta,racismo en américa,negativo
2,allpapi tiyashkakuna,accidentes geograficos,neutro
3,wayku,acequia,neutro
4,achachilasa,antepasados,neutro
5,achik,"claro, luz",neutro
6,achik mama,madrina,neutro
7,achik wawa,"ahijado, ahijada",neutro
8,achik yaya,padrino,neutro
9,achiksamaytu,ozono,neutro
10,achikshumaytu,ozono,neutro
11,achikyachina,aclarar,positivo
12,achikyana,aclarar,positivo
13,achka,mucho,positivo
14,achkak,suficiente,positivo
15,ahak,ofensor,negativo
16,ahay,"ofender, ofensa",neutro
17,akapi,cebada,neutro
18,akcha,"pelo, cabello",neutro
19,akcha kara,cuero cabelludo,neutro
20,akllashka chani,muestra estadística,neutro
21,akllawarmi,virgen,neutro
22,akllay,escoger,positivo
23,akna,ceremonia,neutro
24,akna,ceremonia,neutro
25,akukutinchik,múltiplo del gramo,neutro
26,akuna,masticar,neutro
27,akuy,vil,neutro
28,alakay,alcanzar,positivo
29,alapana,"pegar, adherir",neutro
30,alaparina,"apegarse, aferrarse",positivo
31,allana,excavar,neutro
32,allawka,derecha (mano,neutro
33,allawka,derecho,positivo
34,alli,"bien, bueno",positivo
35,alli maki,mano derecha,neutro
36,allichi,adorno,positivo
37,allichina,arreglar,positivo
38,allichiy,arreglar,positivo
39,allikachina,gustar,positivo
40,allikay,"salud, bneficio",positivo
41,allikillkay,ortografía.,positivo
42,allikillkay,ortografía,positivo
43,allimanta,"despacio, de buena manera",positivo
44,allimikuy,nutrición,positivo
45,allin,magnifico,positivo
46,alliyana,"sanar, curar",positivo
47,alliyay,recuperar la salud,positivo
48,allku,perro,neutro
49,allpa,"tierra, suelo",neutro
50,allpa kara,corteza terrestre,neutro
51,allpa khiwa,hierba rastrera,negativo
52,allpachawpipacha muyuy,línea ecuatorial,neutro
53,allpachinkari,erosión,negativo
54,allpachinkariy,erosión,negativo
55,allpachukchuy,temblor,negativo
56,allpakamay saywachi,geografía política,neutro
57,allpakutik,movimiento de nutación,neutro
58,allpamama chaska,planeta tierra,neutro
59,allpamamakamay,geografía,neutro
60,allpamamapi rikuchi,ubicación geográfica,neutro
61,allpampay,superficie de la tierra,neutro
62,allpamuyuy,movimiento de traslación,positivo
63,allpanpa,superficial,neutro
64,allpapacha,continente,neutro
65,allpapachakak,natural,positivo
66,allpapachapampa,superficie de la tierra,neutro
67,allpapachapi tiyak chalwakuna,recursos ictiológicos,positivo
68,allpapachapi tiyak chukikuna,recursos mineros,positivo
69,allpapachapi tiyak yakukuna,recursos hidrográfico,positivo
70,allpapachapi tiyak yurakuna,recursos forestales,positivo
71,allpapachapi tiyakuna,recursos naturales,positivo
72,allpapiruruy,movimiento de rotación,positivo
73,allparantikillka,escritura,positivo
74,allpashuyu,mapa,neutro
75,allpashuyukamay,cartografía,neutro
76,allpawaklliyay,erosión,negativo
77,allpawira,petróleo,neutro
78,"allpawira, wisisi",petróleo,neutro
79,allpawku,subterráneo,neutro
80,allpañan,vía terrestre,negativo
81,allpañutuchina,desterronar,negativo
82,almut,almud (25 lib,neutro
83,ama llulla,honestidad,positivo
84,amapuna,traer,neutro
85,amaru,serpiente,neutro
86,amawta,científico,positivo
87,amawta yachay,contenido científico,positivo
88,amawtay,ciencia,positivo
89,amañana,adaptar,positivo
90,amañana,adaptar,positivo
91,amañarina,adaptarse,positivo
92,amañariy,adaptación,positivo
93,amita,sopa,neutro
94,ampana,bostezar,negativo
95,amsa,opaco,negativo
96,amsayana,ocultar el sol,neutro
97,amukay,suavidad,positivo
98,amulliy,poner algo en la boca,positivo
99,ana,lunar,neutro
100,anaku,falda,neutro
101,anchachilasa,antepasados,neutro
102,anchakuyay,pasión de vehemencia amorosa,positivo
103,anchallpa,globo terráqueo,neutro
104,anchallpakamay,geopolítica,neutro
105,anchayupay,importancia,positivo
106,anchuchina,"quitar, sustraer",negativo
107,anchuchiy,quitar,negativo
108,anchuna,"irse de casa, moverse de sitio",negativo
109,anchuriy,retirarse,negativo
110,anchuy,retirada,negativo
111,anka,gallinazo,neutro
112,ankana,volar,positivo
113,ankas,azul,neutro
114,ankas tapa wara,blue jean,neutro
115,ankay,ceremonial,positivo
116,ankichik,radio emisor,neutro
117,ankiyachik,radio receptor,neutro
118,anku,"vena, arteria",neutro
119,ankuyana,marchitarse envecer,negativo
120,anta,metal,neutro
121,antaki,plomo,neutro
122,antakullki,monedas,neutro
123,antanikik,computadora,neutro
124,antanikik chaski,correo electrónico,neutro
125,antapachachik,reloj mecánico,positivo
126,antawa,"coche, carro",neutro
127,antayari,radio,neutro
128,antayay,metalúrgico,neutro
129,antisuyu,región amazónica,positivo
130,apana,llevar,positivo
131,apanakuy,llevarse - relacionarse,positivo
132,apankara,cáncer(enfermedad,negativo
133,apankura,cáncer (signo,neutro
134,aparikanta,medios de transporte,neutro
135,aparina,cargar,neutro
136,apariykancha,medios de transporte,positivo
137,apay,"guiar, conducir",positivo
138,api,"colada, mazamorra",positivo
139,apuk,ancestros,positivo
140,apuk,líder-autoridad,positivo
141,apukkuna,autoridades,positivo
142,apukkuna tantaripacha,período de integración,positivo
143,apukkuna tantatripacha,período de integración,positivo
144,apuktukushka,emperador,neutro
145,apunchik,dios,positivo
146,apunchikamay,religión,positivo
147,apunchikwasi,iglesia,neutro
148,apuskachak,soberbio,negativo
149,apyayala,continente americano,neutro
150,apyayalapi chawchuri rikurimanta,racismo en américa,negativo
151,apyu,caballo,neutro
152,arawik,poeta,positivo
153,thiyu,arena,neutro
154,arina,estrenar,positivo
155,arinichina,convencer,positivo
156,arinina,"acceder, consentir",positivo
157,arininakuy,"acuerdo, tratado",positivo
158,arininakuy,"acuerdos, tratados",positivo
159,ayñi,arma,negativo
160,armana,bañar,positivo
161,ashanka,canasto,neutro
162,ashankayrumpa,básquet,neutro
